folder_identifier,jpeg_count,first_jpeg,last_jpeg
MS-011_1_1_1_1,100,MS-011_1_1_1_1_J_0001.jpg,MS-011_1_1_1_1_J_0100.jpg
MS-011_1_1_1_2,100,MS-011_1_1_1_2_J_0001.jpg,MS-011_1_1_1_2_J_0100.jpg
MS-011_1_1_1_3,100,MS-011_1_1_1_3_J_0001.jpg,MS-011_1_1_1_3_J_0100.jpg
MS-011_1_1_1_4,100,MS-011_1_1_1_4_J_0001.jpg,MS-011_1_1_1_4_J_0100.jpg
MS-011_1_1_1_5,100,MS-011_1_1_1_5_J_0001.jpg,MS-011_1_1_1_5_J_0100.jpg
MS-011_1_1_1_6,100,MS-011_1_1_1_6_J_0001.jpg,MS-011_1_1_1_6_J_0100.jpg
MS-011_1_1_1_7,100,MS-011_1_1_1_7_J_0001.jpg,MS-011_1_1_1_7_J_0100.jpg
MS-011_1_1_1_8,100,MS-011_1_1_1_8_J_0001.jpg,MS-011_1_1_1_8_J_0100.jpg
MS-011_1_1_1_9,100,MS-011_1_1_1_9_J_0001.jpg,MS-011_1_1_1_9_J_0100.jpg
MS-011_1_1_1_10,100,MS-011_1_1_1_10_J_0001.jpg,MS-011_1_1_1_10_J_0100.jpg
MS-011_1_1_1_11,100,MS-011_1_1_1_11_J_0001.jpg,MS-011_1_1_1_11_J_0100.jpg
MS-011_1_1_1_12,100,MS-011_1_1_1_12_J_0001.jpg,MS-011_1_1_1_12_J_0100.jpg
MS-011_1_1_1_13,100,MS-011_1_1_1_13_J_0001.jpg,MS-011_1_1_1_13_J_0100.jpg
MS-011_1_1_1_14,100,MS-011_1_1_1_14_J_0001.jpg,MS-011_1_1_1_14_J_0100.jpg
MS-011_1_1_1_15,100,MS-011_1_1_1_15_J_0001.jpg,MS-011_1_1_1_15_J_0100.jpg
MS-011_1_1_1_16,100,MS-011_1_1_1_16_J_0001.jpg,MS-011_1_1_1_16_J_0100.jpg
MS-011_1_1_1_17,100,MS-011_1_1_1_17_J_0001.jpg,MS-011_1_1_1_17_J_0100.jpg
MS-011_1_1_1_18,100,MS-011_1_1_1_18_J_0001.jpg,MS-011_1_1_1_18_J_0100.jpg
MS-011_1_1_1_19,100,MS-011_1_1_1_19_J_0001.jpg,MS-011_1_1_1_19_J_0100.jpg
MS-011_1_1_1_20,100,MS-011_1_1_1_20_J_0001.jpg,MS-011_1_1_1_20_J_0100.jpg
MS-011_1_1_1_21,100,MS-011_1_1_1_21_J_0001.jpg,MS-011_1_1_1_21_J_0100.jpg
MS-011_1_1_1_22,100,MS-011_1_1_1_22_J_0001.jpg,MS-011_1_1_1_22_J_0100.jpg
MS-011_1_1_1_23,100,MS-011_1_1_1_23_J_0001.jpg,MS-011_1_1_1_23_J_0100.jpg
MS-011_1_1_1_24,100,MS-011_1_1_1_24_J_0001.jpg,MS-011_1_1_1_24_J_0100.jpg
MS-011_1_1_1_25,100,MS-011_1_1_1_25_J_0001.jpg,MS-011_1_1_1_25_J_0100.jpg
MS-011_1_1_1_26,100,MS-011_1_1_1_26_J_0001.jpg,MS-011_1_1_1_26_J_0100.jpg
MS-011_1_1_1_27,100,MS-011_1_1_1_27_J_0001.jpg,MS-011_1_1_1_27_J_0100.jpg
MS-011_1_1_1_28,100,MS-011_1_1_1_28_J_0001.jpg,MS-011_1_1_1_28_J_0100.jpg
MS-011_1_1_1_29,100,MS-011_1_1_1_29_J_0001.jpg,MS-011_1_1_1_29_J_0100.jpg
MS-011_1_1_1_30,100,MS-011_1_1_1_30_J_0001.jpg,MS-011_1_1_1_30_J_0100.jpg
MS-011_1_1_1_31,100,MS-011_1_1_1_31_J_0001.jpg,MS-011_1_1_1_31_J_0100.jpg
MS-011_1_1_1_32,100,MS-011_1_1_1_32_J_0001.jpg,MS-011_1_1_1_32_J_0100.jpg
MS-011_1_1_1_33,100,MS-011_1_1_1_33_J_0001.jpg,MS-011_1_1_1_33_J_0100.jpg
MS-011_1_1_1_34,100,MS-011_1_1_1_34_J_0001.jpg,MS-011_1_1_1_34_J_0100.jpg
MS-011_1_1_1_35,100,MS-011_1_1_1_35_J_0001.jpg,MS-011_1_1_1_35_J_0100.jpg
MS-011_1_1_1_36,100,MS-011_1_1_1_36_J_0001.jpg,MS-011_1_1_1_36_J_0100.jpg
MS-011_1_1_1_37,100,MS-011_1_1_1_37_J_0001.jpg,MS-011_1_1_1_37_J_0100.jpg
MS-011_1_1_1_38,100,MS-011_1_1_1_38_J_0001.jpg,MS-011_1_1_1_38_J_0100.jpg
MS-011_1_1_1_39,100,MS-011_1_1_1_39_J_0001.jpg,MS-011_1_1_1_39_J_0100.jpg
MS-011_1_1_1_40,100,MS-011_1_1_1_40_J_0001.jpg,MS-011_1_1_1_40_J_0100.jpg
MS-011_1_1_1_41,100,MS-011_1_1_1_41_J_0001.jpg,MS-011_1_1_1_41_J_0100.jpg
MS-011_1_1_1_42,100,MS-011_1_1_1_42_J_0001.jpg,MS-011_1_1_1_42_J_0100.jpg
MS-011_1_1_1_43,100,MS-011_1_1_1_43_J_0001.jpg,MS-011_1_1_1_43_J_0100.jpg
MS-011_1_1_1_44,100,MS-011_1_1_1_44_J_0001.jpg,MS-011_1_1_1_44_J_0100.jpg
MS-011_1_1_1_45,100,MS-011_1_1_1_45_J_0001.jpg,MS-011_1_1_1_45_J_0100.jpg
MS-011_1_1_1_46,100,MS-011_1_1_1_46_J_0001.jpg,MS-011_1_1_1_46_J_0100.jpg
MS-011_1_1_1_47,100,MS-011_1_1_1_47_J_0001.jpg,MS-011_1_1_1_47_J_0100.jpg
MS-011_1_1_1_48,100,MS-011_1_1_1_48_J_0001.jpg,MS-011_1_1_1_48_J_0100.jpg
MS-011_1_1_1_49,100,MS-011_1_1_1_49_J_0001.jpg,MS-011_1_1_1_49_J_0100.jpg
MS-011_1_1_1_50,100,MS-011_1_1_1_50_J_0001.jpg,MS-011_1_1_1_50_J_0100.jpg
MS-011_1_1_1_51,100,MS-011_1_1_1_51_J_0001.jpg,MS-011_1_1_1_51_J_0100.jpg
MS-011_1_1_1_52,100,MS-011_1_1_1_52_J_0001.jpg,MS-011_1_1_1_52_J_0100.jpg
MS-011_1_1_1_53,100,MS-011_1_1_1_53_J_0001.jpg,MS-011_1_1_1_53_J_0100.jpg
MS-011_1_1_1_54,100,MS-011_1_1_1_54_J_0001.jpg,MS-011_1_1_1_54_J_0100.jpg
MS-011_1_1_1_55,100,MS-011_1_1_1_55_J_0001.jpg,MS-011_1_1_1_55_J_0100.jpg
MS-011_1_1_1_56,100,MS-011_1_1_1_56_J_0001.jpg,MS-011_1_1_1_56_J_0100.jpg
MS-011_1_1_1_57,100,MS-011_1_1_1_57_J_0001.jpg,MS-011_1_1_1_57_J_0100.jpg
MS-011_1_1_1_58,100,MS-011_1_1_1_58_J_0001.jpg,MS-011_1_1_1_58_J_0100.jpg
MS-011_1_1_1_59,100,MS-011_1_1_1_59_J_0001.jpg,MS-011_1_1_1_59_J_0100.jpg
MS-011_1_1_1_60,100,MS-011_1_1_1_60_J_0001.jpg,MS-011_1_1_1_60_J_0100.jpg
MS-011_1_1_1_61,100,MS-011_1_1_1_61_J_0001.jpg,MS-011_1_1_1_61_J_0100.jpg
MS-011_1_1_1_62,100,MS-011_1_1_1_62_J_0001.jpg,MS-011_1_1_1_62_J_0100.jpg
MS-011_1_1_1_63,100,MS-011_1_1_1_63_J_0001.jpg,MS-011_1_1_1_63_J_0100.jpg
MS-011_1_1_1_64,100,MS-011_1_1_1_64_J_0001.jpg,MS-011_1_1_1_64_J_0100.jpg
MS-011_1_1_1_65,100,MS-011_1_1_1_65_J_0001.jpg,MS-011_1_1_1_65_J_0100.jpg
MS-011_1_1_1_66,100,MS-011_1_1_1_66_J_0001.jpg,MS-011_1_1_1_66_J_0100.jpg
